unit,category,label,score,color-label,color-truth,color-activation,color-intersect,color-iou,object-label,object-truth,object-activation,object-intersect,object-iou,part-label,part-truth,part-activation,part-intersect,part-iou,material-label,material-truth,material-activation,material-intersect,material-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou
962,material,food,0.025992594,red-c,21004512,3528494,190761,0.007836623,car,5354795,2195586,97930,0.013140643,body,1291612,1036556,35553,0.015507619,food,1104928,679742,45213,0.025992594,water_tower-s,275968,981658,25383,0.020599021,striped,2433536,334619,36188,0.013246134
963,texture,freckled,0.040543923,black-c,139916835,3539288,1085380,0.007623617,dog,3793935,1691728,169089,0.031804128,torso,7669375,1097432,159320,0.018509467,food,1104928,850898,26915,0.013953469,cockpit-s,539392,474103,20004,0.020135059,freckled,1555456,373727,75169,0.040543923
964,object,person,0.025343756,pink-c,18491188,3425065,117108,0.005372137,person,14523849,1853529,404805,0.025343756,torso,7669375,961967,140832,0.016586989,fabric,8548746,765856,89401,0.009690954,lighthouse-s,589568,912659,28462,0.019312441,,24924928,185221,156949,0.006289734
965,object,bird,0.017631995,blue-c,61494563,3609114,469543,0.007264629,bird,1030707,2629468,63418,0.017631995,wing,323329,959113,19261,0.015248013,fabric,8548746,478193,28319,0.003147038,playground-s,439040,1300580,28255,0.016510213,freckled,1555456,344734,20402,0.010853352
966,object,fence,0.020488527,grey-c,159331282,3421930,907174,0.005605167,fence,2236367,1957998,84211,0.020488527,drawer,540514,521332,17273,0.016535943,granite,1315719,689752,23720,0.011969213,kitchen-s,9006592,994180,132747,0.013452236,grooved,1505280,274009,30030,0.017167269
967,scene,dining_room-s,0.023256145,orange-c,30348501,3583085,179702,0.005324206,plate,277519,1379222,36256,0.022373549,head,4946761,797891,75890,0.013387403,food,1104928,1451636,38790,0.015406466,dining_room-s,5694976,699895,145340,0.023256145,scaly,1568000,131875,17747,0.010550327
968,scene,lighthouse-s,0.044371882,black-c,139916835,3614296,753545,0.005277754,bicycle,1152271,1519795,48045,0.018309686,wheel,1513439,602558,28161,0.013488128,metal,3462561,830109,66694,0.015781916,lighthouse-s,589568,690104,54369,0.044371882,grooved,1505280,292022,13944,0.007818957
969,object,bed,0.033812314,red-c,21004512,3486655,149907,0.006158555,bed,5899566,2143561,263062,0.033812314,footboard,366693,763844,25154,0.022755914,fabric,8548746,656399,104110,0.011439358,bedroom-s,19167232,1396215,338384,0.016730924,interlaced,1630720,231499,12653,0.006841064
970,scene,poolroom-home-s,0.038052303,black-c,139916835,3548922,1007454,0.007071922,pool table,435101,2427578,91902,0.033168313,top,381885,947506,26875,0.020633144,wood,9793596,677867,66063,0.006348915,poolroom-home-s,1317120,1389591,99221,0.038052303,,24924928,213608,186305,0.007466467
971,scene,bathroom-s,0.021359265,white-c,72511065,3450220,663592,0.008812913,sink,489770,1470889,39759,0.02069811,lid,90429,672950,5695,0.007516326,ceramic,679072,925052,13148,0.00826411,bathroom-s,9257472,900190,212423,0.021359265,pleated,1505280,137506,15897,0.00977141
972,scene,office-s,0.099537145,black-c,139916835,3648832,986572,0.006919472,desk,916228,2350090,150995,0.048468489,body,1291612,1244886,66743,0.027024138,paper,471596,950848,22322,0.015942896,office-s,1542912,1241237,252039,0.099537145,,24924928,178264,165510,0.006636944
973,scene,boxing_ring-s,0.034679032,red-c,21004512,3518697,157082,0.006446736,person,14523849,1880108,321809,0.020010324,arm,2299112,719818,33626,0.011263844,carpet,4405463,836271,36942,0.00709769,boxing_ring-s,150528,1041952,39968,0.034679032,,24924928,274318,226089,0.009053281
974,object,sofa,0.033947739,red-c,21004512,3590001,143277,0.005859704,sofa,4094071,1679762,189573,0.033947739,seat cushion,340448,859072,31019,0.026545976,fabric,8548746,1190101,250245,0.026373221,office-s,1542912,1054941,53149,0.020886123,polka-dotted,1705984,129497,11587,0.006352891
975,texture,frilly,0.107146865,pink-c,18491188,3606371,266055,0.012186746,bird,1030707,2068291,147284,0.049897788,wing,323329,1344044,55203,0.034241426,food,1104928,484871,31349,0.020115499,field-cultivated-s,639744,496679,31912,0.028892424,frilly,1618176,808887,234885,0.107146865
976,object,pool table,0.057701857,black-c,139916835,3483216,906171,0.006359368,pool table,435101,1335017,96567,0.057701857,monitor,141433,717744,26957,0.032391675,food,1104928,1426240,25646,0.010235791,office-s,1542912,734155,94984,0.04352905,porous,1856512,80636,4136,0.002139666
977,object,bicycle,0.044484013,black-c,139916835,3491922,1094299,0.007689303,bicycle,1152271,1811232,126214,0.044484013,wheel,1513439,973526,94553,0.039522039,metal,3462561,921015,29475,0.00676948,office-s,1542912,729315,52072,0.023454218,,24924928,144924,111251,0.004457421
